year,stcode,routeno,physreg,date,county,tot.seen,tot.heard,tot.seen.stop,tot.seen.drive
2007,Pennsylvania-72,810,81,5/25/2007,ELK-CLINTON-CENTRE,1,5,0,1
2007,Pennsylvania-72,960,81,5/21/2007,Indiana,5,10,1,4
2007,Pennsylvania-72,980,81,5/31/2007,FAYET-SOM-WEST,14,5,2,12
2008,Pennsylvania-72,40,42,5/23/2008,BUCKS-MONTGOMERY,25,5,14,11
2008,Pennsylvania-72,60,41,5/24/2008,CHESTER,17,26,4,13
2008,Pennsylvania-72,61,85,5/20/2008,MCKEAN,1,1,1,0
2008,Pennsylvania-72,110,85,5/29/2008,ELK-CAMERON,14,4,1,13
2008,Pennsylvania-72,120,85,5/28/2008,CLARION-VENANGO,15,9,4,11
2008,Pennsylvania-72,180,62,5/21/2008,Luzerne-Columbia,22,24,4,18
2008,Pennsylvania-72,210,62,5/28/2008,UNION-CEN,19,6,9,10
2008,Pennsylvania-72,320,62,5/28/2008,BERKS-SCHUY,43,3,9,34
2008,Pennsylvania-72,351,85,5/24/2008,FAYETTE-WESTM,21,3,0,21
2008,Pennsylvania-72,351,85,5/24/2008,FAYETTE-WESTM,16,2,0,16
2008,Pennsylvania-72,390,62,5/21/2008,BEDFORD-HUN-FULTON,33,16,11,22
2008,Pennsylvania-72,421,62,5/30/2008,Bedford,10,8,1,9
2008,Pennsylvania-72,520,81,5/21/2008,Tioga-Bradford,9,5,3,6
2008,Pennsylvania-72,670,81,5/28/2008,Luzerne-Wyoming,8,15,0,8
2008,Pennsylvania-72,770,81,5/23/2008,Wayne,0,18,0,0
2008,Pennsylvania-72,810,81,5/30/2008,ELK-CLINTON-CENTRE,1,5,1,0
2008,Pennsylvania-72,960,81,5/27/2008,Indiana,5,12,2,3
2008,Pennsylvania-72,980,81,5/30/2008,FAYET-SOM-WEST,7,5,2,5
2009,Pennsylvania-72,40,42,5/23/2009,BUCKS-MONTGOMERY,23,3,6,17
2009,Pennsylvania-72,60,41,5/23/2009,CHESTER,12,14,1,11
2009,Pennsylvania-72,61,85,5/31/2009,MCKEAN,4,4,2,2
2009,Pennsylvania-72,110,85,5/22/2009,ELK-CAMERON,14,0,2,12
2009,Pennsylvania-72,120,85,5/28/2009,CLARION-VENANGO,13,21,4,9
2009,Pennsylvania-72,180,62,5/22/2009,Luzerne-Columbia,17,21,1,16
2009,Pennsylvania-72,210,62,5/23/2009,UNION-CEN,12,6,5,7
2009,Pennsylvania-72,320,62,5/30/2009,BERKS-SCHUY,10,10,1,9
2009,Pennsylvania-72,351,85,5/29/2009,FAYETTE-WESTM,10,12,4,6
2009,Pennsylvania-72,390,62,5/29/2009,BEDFORD-HUN-FULTON,24,24,11,13
2009,Pennsylvania-72,421,62,5/22/2009,Bedford,17,10,7,10
2009,Pennsylvania-72,520,81,5/20/2009,Tioga-Bradford,10,7,6,4
2009,Pennsylvania-72,670,81,5/31/2009,Luzerne-Wyoming,4,15,1,3
2009,Pennsylvania-72,770,81,5/30/2009,Wayne,5,18,4,1
2009,Pennsylvania-72,810,81,5/28/2009,ELK-CLINTON-CENTRE,2,1,0,2
2009,Pennsylvania-72,960,81,5/31/2009,Indiana,6,9,3,3
2009,Pennsylvania-72,980,81,5/28/2009,FAYET-SOM-WEST,4,1,1,3
2010,Pennsylvania-72,40,42,5/24/2010,BUCKS-MONTGOMERY,20,14,4,16
2010,Pennsylvania-72,60,41,5/22/2010,CHESTER,29,18,7,22
2010,Pennsylvania-72,61,85,5/31/2010,MCKEAN,1,1,0,1
2010,Pennsylvania-72,110,85,5/29/2010,ELK-CAMERON,25,12,10,15
2010,Pennsylvania-72,120,85,5/26/2010,CLARION-VENANGO,15,17,5,10
2010,Pennsylvania-72,180,62,5/22/2010,Luzerne-Columbia,14,23,0,14
2010,Pennsylvania-72,210,62,5/29/2010,UNION-CEN,8,2,0,8
2010,Pennsylvania-72,320,62,5/29/2010,BERKS-SCHUY,22,2,0,22
2010,Pennsylvania-72,351,85,5/21/2010,FAYETTE-WESTM,13,8,3,10
2010,Pennsylvania-72,390,62,5/27/2010,BEDFORD-HUN-FULTON,13,19,7,6
2010,Pennsylvania-72,421,62,5/25/2010,Bedford,22,13,13,9
2010,Pennsylvania-72,520,81,5/25/2010,Tioga-Bradford,13,15,1,12
2010,Pennsylvania-72,670,81,5/27/2010,Luzerne-Wyoming,12,7,3,9
2010,Pennsylvania-72,770,81,5/30/2010,Wayne,4,20,0,4
2010,Pennsylvania-72,810,81,5/26/2010,ELK-CLINTON-CENTRE,1,1,0,1
2010,Pennsylvania-72,960,81,5/29/2010,Indiana,27,16,2,25
2010,Pennsylvania-72,980,81,5/29/2010,FAYET-SOM-WEST,8,21,4,4
